#{"t_start": 1662363613.8528228, "env_id": null}
r,l,t,is_success
-56.444977,12,61.183661,
-16.333332,7,62.136033,
-236.13995,33,65.690388,
-26.0,9,66.724493,
-14.0,3,67.357196,
-18.0,5,68.332445,
-74.02831,13,69.837869,
-59.639957,14,71.343685,
-49.834938,14,72.953845,
-13.166667,5,73.721334,
-18.0,5,74.603184,
-13.334936,13,76.048351,
-14.0,3,76.965125,
-60.028313,15,79.028478,
-164.86165,26,81.783411,
-107.0016,22,84.10219,
-8.946582,17,85.9643,
-34.444977,10,87.305405,
-13.166667,4,88.034639,
-13.166667,6,88.811572,
-37.643166,27,91.607364,
-16.0,4,92.294342,
-14.333333,6,93.211135,
-80.4733,18,95.115881,
-81.2516,36,98.524028,
-24.473291,15,100.074959,
-21.446583,16,101.576743,
-13.5,8,102.451553,
-17.166668,6,103.335067,
-13.5,7,104.217695,
-124.38996,26,106.75527,
-18.0,5,107.412943,
-29.639957,14,108.9008,
-43.001602,11,110.087736,
-157.19498,28,112.817734,
-33.306625,10,113.876644,
-14.0,3,114.402261,
-50.361645,17,115.922599,
-5.8899574,18,117.681716,
-18.0,5,118.810506,
-31.19498,13,120.571733,
-11.223291,11,122.111517,
-69.19498,23,124.444288,
-16.0,6,125.173238,
-15.166667,6,125.912825,
-56.028313,17,127.405345,
-42.444977,10,128.704769,
-22.339748,26,131.483344,
-20.0,7,132.614466,
-49.916668,13,134.13637,
-157.7249,34,137.609891,
-308.57047,98,146.617907,
-7.5032063,18,148.231736,
-13.166667,5,148.975085,
-15.166666,6,149.791991,
-19.5,12,151.057775,
-53.891563,25,153.319356,
-51.306625,12,154.68414,
-15.166666,6,155.569245,
-14.0,3,156.204417,
-27.5,18,158.263771,
-44.281517,37,161.629406,
-16.333332,11,162.771967,
-22.0,7,163.623583,
-34.139957,11,165.049271,
-61.306625,13,166.649496,
-14.333333,6,167.441033,
-65.61485,23,169.597949,
-34.501602,18,171.558663,
-13.166667,4,172.20301,
-20.0,6,172.987958,
-48.16827,20,174.917931,
-33.001602,12,176.140268,
-16.0,4,176.73667,
-51.916664,20,178.725349,
-16.0,5,179.428331,
-16.0,4,180.018692,
-33.834938,11,181.357169,
-34.503204,40,185.212881,
-34.139957,12,186.623224,
-18.0,5,187.268279,
-14.333333,7,188.063525,
-203.03152,47,193.490562,
-14.333333,7,195.005861,
-31.751602,14,197.004803,
-32.694977,16,199.004742,
-16.0,4,199.750564,
-32.361645,13,201.996347,
-14.0,4,203.325094,
-65.16667,15,206.328532,
-125.61166,21,208.896631,
-33.194977,12,210.80535,
-28.0,11,212.022865,
-11.861644,16,213.784073,
-11.223292,13,215.107972,
-13.22329,12,216.636958,
-36.444977,10,218.145709,
-41.834938,10,219.559336,
