#{"t_start": 1662482683.1531248, "env_id": null}
r,l,t,is_success
-19.926632,9,15.141778,False
-13.704407,13,20.045948,False
-73.44443,15,24.717859,False
-29.444437,11,29.191039,False
-25.371073,11,33.604955,False
-15.853268,12,37.739978,False
-36.81765,21,42.773912,False
-13.704411,9,46.879387,False
-20.888887,8,50.989365,False
-102.335434,25,57.333604,False
-110.74216,26,62.723078,False
-122.48219,18,67.321706,False
-18.888887,7,71.414234,False
-9.557678,17,76.017576,False
-27.926636,9,80.320258,False
-21.423668,24,85.432666,False
-25.444437,8,89.415573,False
-15.704411,11,93.835335,False
-26.704397,17,99.645805,False
-16.666662,9,104.249537,False
-18.0,5,108.375318,False
-40.186596,24,113.205001,False
-42.00213,11,117.414011,False
-71.44444,26,122.409745,False
-17.68185,39,130.041953,False
-16.0,4,133.760709,False
-27.037748,7,137.652569,False
-18.0,5,141.650426,False
-20.0,6,145.47919,False
-21.777775,11,149.648041,False
-22.25996,9,153.877559,False
-12.742155,10,158.358753,False
-92.075485,19,163.341978,False
-18.0,5,167.480515,False
-80.333336,20,172.360153,False
-84.81552,15,177.158764,False
-33.40882,16,181.817184,False
-16.0,4,186.817441,False
-15.926632,7,190.774042,False
-47.706535,18,196.211679,False
-24.0,8,200.466725,False
-16.0,4,204.055869,False
-45.444435,8,208.300848,False
-12.888887,4,212.207717,False
-10.742155,11,216.314653,False
-14.0,3,220.216334,False
-15.777775,7,224.183106,False
-102.0755,15,228.963138,False
-16.0,4,232.813046,False
-14.888887,5,236.919047,False
-18.0,5,240.861938,False
-77.54578,36,248.538152,False
-14.666662,9,253.078808,False
-14.0,3,256.667781,False
-16.888887,7,260.530797,False
-43.926632,10,264.332093,False
-73.85329,16,269.185752,False
-22.0,7,273.158748,False
-20.0,6,277.232064,False
-5.9999866,17,282.434561,False
-14.0,3,286.249329,False
-31.444437,9,290.387147,False
-13.55555,9,294.547965,False
-15.55555,12,298.963108,False
-18.0,5,302.733296,False
-31.446562,12,308.265873,False
-18.0,5,312.030186,False
-14.888887,5,315.952226,False
-18.0,5,320.085193,False
-35.03775,8,324.016052,False
-20.0,6,328.064104,False
-14.0,3,331.831616,False
-18.0,5,336.088526,False
-16.888887,6,340.344371,False
-12.817648,13,344.983132,False
-18.0,5,349.098613,False
-18.0,5,353.056691,False
-16.0,4,357.038851,False
-26.0,9,361.299389,False
-18.0,5,365.31185,False
-14.0,3,368.720918,False
-13.704411,9,372.588843,False
-38.075497,12,377.099665,False
-5.484309,16,383.001033,False
-68.74216,15,387.737028,False
-14.0,3,391.292269,False
-18.0,5,394.939706,False
-44.668793,14,399.169589,False
-16.888887,6,403.242351,False
-18.0,5,407.076978,False
-14.0,3,410.734858,False
-9.6310425,11,415.16922,False
-20.0,6,419.136931,False
-15.777775,7,423.466086,False
-10.51993,13,428.15579,False
-22.0,7,432.331893,False
-12.666662,7,436.46137,False
-16.0,4,440.18209,False
-71.04199,21,446.430844,False
-11.55555,8,451.00839,False
-15.777775,9,455.139258,False
-14.0,3,459.238343,False
-16.888887,6,463.194149,False
-16.0,4,466.89528,False
-25.444437,6,470.921148,False
-16.0,4,474.449034,False
-14.666662,8,478.399754,False
-8.668791,11,482.589403,False
-14.0,3,486.736544,False
-18.0,5,490.809899,False
-14.888887,5,494.74035,False
-14.0,3,498.433793,False
-18.0,5,502.641173,False
-14.0,3,506.217715,False
-16.0,4,510.100074,False
-14.0,3,513.850558,False
-16.0,4,517.687891,False
