#{"t_start": 1662108824.7883859, "env_id": null}
r,l,t,is_success
-18.0,5,801.256432,
-15.777778,7,802.426917,
-12.888889,4,803.114429,
-18.0,5,803.927328,
-77.92877,18,806.112434,
-22.817665,22,809.114573,
-8.519944,12,810.971842,
-28.0755,10,812.458056,
-24.482193,10,813.757888,
-14.0,5,814.552463,
-10.964388,12,816.580237,
-14.0,3,817.201851,
-16.0,4,817.884068,
-12.888889,4,818.553396,
-14.0,3,819.225963,
-12.888889,5,820.161231,
-22.482193,7,821.271005,
-7.9266386,3,821.974533,
-16.0,5,822.64925,
-14.888889,8,900.220602,
-14.0,3,901.009393,
-18.0,5,902.46645,
-16.0,4,903.20839,
-34.964386,13,905.355549,
-9.408833,16,907.817464,
-14.0,3,908.45698,
-7.8532763,8,909.592322,
-14.0,3,910.175513,
-14.0,3,910.76024,
-14.888889,6,911.514065,
-33.446583,18,913.153382,
-12.888889,4,913.807985,
-32.964386,10,916.910398,
-66.48219,17,918.693688,
-14.888889,6,919.545008,
-9.853277,7,920.409158,
-14.888889,5,921.152703,
-14.0,3,921.666352,
-18.0,5,922.383561,
-18.0,5,923.108431,
-22.88889,10,924.143136,
-14.888889,8,925.667326,
-21.853277,9,927.06449,
-14.0,4,927.715105,
-18.0,6,928.53511,
-12.666666,7,930.034968,
-24.0,8,931.015542,
-14.888889,5,931.726553,
-16.0,4,932.533351,
-20.666668,11,933.959697,
-14.0,3,934.637902,
-14.0,3,935.186226,
-16.88889,6,936.213028,
-18.0,5,936.864856,
-14.0,3,937.412651,
-14.888889,5,938.118001,
-18.0,6,938.869297,
-28.88889,12,940.197986,
-34.0755,8,941.307419,
-12.888889,4,941.90813,
-18.742165,12,943.167209,
-14.0,3,943.660918,
-14.815527,8,944.570497,
-36.593307,24,947.112227,
-18.0,6,948.050348,
-12.888889,7,948.958122,
-8.964388,6,950.182054,
-51.855415,21,952.262129,
-22.482193,11,953.456434,
-18.0,5,954.169168,
-18.88889,7,955.260423,
-14.0,3,955.889861,
