#{"t_start": 1662108824.7883859, "env_id": null}
r,l,t,is_success
-52.89103,19,159.920281,
-218.40883,29,164.495767,
-44.595444,21,169.154639,
-72.0755,12,171.154931,
-13.631056,16,173.689463,
-16.039886,16,175.467124,
-11.777778,5,176.582537,
-32.482193,7,177.587329,
-19.853277,9,178.967763,
-12.742166,11,180.489254,
-26.482193,10,181.932117,
-14.0,4,182.967097,
-14.0,3,183.593794,
-23.853277,11,185.310479,
-14.0,3,186.107508,
-12.964388,9,187.271583,
-32.666668,14,189.000098,
-73.11325,16,190.814888,
-20.0,7,191.877674,
-10.964388,8,192.973609,
-24.964388,10,194.280562,
-40.482193,9,195.429151,
-29.853277,12,196.961203,
-60.964386,11,198.493854,
-50.408833,22,200.739533,
-125.00214,27,203.516331,
-46.0755,10,204.89008,
-18.0,6,205.781274,
-16.0,7,206.718049,
-52.0755,9,207.796621,
-24.482193,10,208.934646,
-16.88889,6,209.951473,
-11.777778,6,210.911057,
-18.666666,16,212.655752,
-16.0,5,213.454874,
-50.964386,11,214.893784,
-20.964388,9,216.809824,
-49.371082,10,218.225669,
-14.888889,5,219.682909,
-56.0755,13,222.52335,
-83.148865,18,224.596017,
-4.8910284,22,227.234657,
-20.0,6,228.454163,
-52.482193,9,230.699127,
-158.0755,22,233.714651,
-20.891026,14,236.157123,
-14.0,4,237.319816,
-31.777779,15,239.408633,
-28.03775,15,241.288964,
-26.482193,9,242.671336,
-147.92877,34,246.751313,
-26.88889,11,248.238049,
-34.744305,16,250.293402,
-22.88889,9,251.627269,
-42.964386,13,253.510297,
-16.88889,6,254.599693,
-24.259972,13,256.465711,
-36.0755,14,258.586776,
-24.482193,7,260.332756,
-41.63747,29,265.876549,
-17.777779,14,267.775293,
-14.0,4,268.599745,
-44.482193,9,269.785721,
-8.964388,8,271.176829,
-14.0,3,271.918485,
-14.0,3,272.609952,
-19.557693,21,276.127712,
-17.89103,20,278.955611,
-18.742165,17,281.605841,
-40.0755,14,283.734758,
-12.964388,8,285.436641,
-14.666666,12,287.105255,
-10.002137,7,288.326728,
-14.0,3,289.065537,
0.43803024,33,293.936017,
-21.371082,7,295.479431,
-37.371086,20,298.768947,
-40.742165,12,300.60455,
-37.371082,12,302.433629,
-66.44658,24,306.684864,
-23.371082,8,307.91556,
-7.6310554,10,309.435769,
-20.706558,33,314.309733,
-58.25997,17,316.976694,
-14.0,3,317.602118,
-58.557693,45,323.169549,
-16.0,5,324.05828,
-33.371082,11,325.506603,
-5.484333,17,328.018955,
-22.964388,10,330.503956,
-90.964386,14,334.588905,
-16.0,4,335.683764,
-8.222223,12,337.407555,
-14.0,3,338.095571,
-12.888889,4,338.850138,
-162.0755,26,343.86902,
-14.0,4,345.014156,
-19.92664,10,347.416088,
-16.88889,8,348.965437,
-18.0,5,350.523171,
-118.48219,19,353.192735,
-11.555555,11,354.671109,
-56.0,13,356.64886,
-20.0,6,357.77616,
-28.0755,10,359.95638,
-31.371082,9,361.621589,
-14.888889,5,362.644547,
-37.07764,20,365.108978,
-51.444443,13,366.887196,
-32.964386,13,368.501487,
-12.888889,4,369.216244,
-59.85328,13,370.873478,
-14.0,4,371.53391,
-16.0,4,372.33864,
-40.0755,8,373.392355,
-20.259972,13,375.023041,
-32.482193,15,376.78837,
-23.371082,9,378.059234,
-21.297722,15,380.063191,
-122.964386,20,382.527719,
-81.63106,21,384.935383,
-22.88889,11,386.609487,
-12.888889,5,387.449027,
-78.964386,14,388.926623,
-16.88889,6,389.885137,
-29.14886,12,391.390417,
-34.408833,19,393.573133,
-34.557693,13,395.216874,
-42.0755,10,396.494966,
-51.779915,20,398.600116,
-70.55769,18,400.58684,
-102.964386,17,402.287804,
-36.482193,10,403.544755,
-16.88889,10,404.740164,
-53.85328,16,406.482553,
-45.371082,12,407.890935,
-21.777779,11,409.108901,
-20.964388,8,410.191809,
-29.371082,15,412.010125,
-12.888889,4,412.679037,
-14.888889,6,413.589771,
-26.259972,14,415.943793,
-26.482193,9,417.481426,
-13.853276,9,419.04374,
-55.779915,23,421.332965,
-9.853277,7,422.239992,
-12.888889,6,423.051929,
-12.888889,6,423.872452,
-48.964386,12,425.338572,
-16.0,4,426.229006,
-90.59331,22,429.294056,
-14.888889,6,430.214127,
-64.0755,13,431.904931,
-20.666666,13,433.654256,
-52.0755,9,434.938712,
-22.482193,6,435.972327,
-92.74216,25,438.803818,
-8.744303,17,441.120907,
-46.0755,11,442.597925,
-14.0,5,443.479921,
-1.2621107,19,445.825356,
-24.482193,7,446.771971,
-16.0,4,447.417186,
-18.964388,12,448.791179,
-14.0,3,449.466939,
-124.489685,69,456.981373,
-18.0,5,457.743237,
-32.891026,27,530.980259,
-7.631055,12,532.427548,
-14.0,3,533.074401,
-34.482193,11,534.257438,
-17.777779,8,535.191446,
-39.371082,14,536.708821,
-7.8532763,7,537.548347,
-42.224365,33,543.119419,
-20.335472,19,545.234181,
-12.888889,5,546.31665,
-6.297723,19,548.660838,
-61.670944,33,551.853,
-12.888889,5,552.582336,
-22.482193,7,553.523455,
-12.888889,5,554.292386,
-14.0,3,554.864297,
-52.482193,9,556.113388,
-14.888889,6,556.958495,
-18.186611,16,558.959235,
-39.85328,12,560.485752,
-15.555555,16,562.812184,
-16.0,4,563.997839,
-16.0,4,565.642321,
-34.482193,12,567.827903,
-22.482193,8,569.025194,
-21.371082,11,570.38917,
-27.853275,18,572.564268,
-46.0755,12,574.100936,
-7.7065544,20,576.208103,
-14.0,5,576.902758,
-36.482193,14,578.266925,
-16.0,4,578.917231,
-18.0,5,580.616352,
-20.88889,10,582.0446,
-16.88889,6,582.839283,
-16.88889,7,583.777558,
-22.0755,8,584.93379,
-24.0,8,586.021858,
-11.777778,6,587.172821,
-22.0,7,588.476045,
-16.742165,13,589.887251,
-36.891026,16,591.828747,
-46.0755,11,593.070684,
-130.0755,29,596.175423,
-16.88889,8,597.10149,
-18.0,5,598.123528,
-84.48219,31,600.934167,
-10.666666,7,602.054981,
-14.0,3,602.708765,
-34.37536,38,606.248028,
-20.88889,8,607.177141,
-35.484333,32,609.988617,
-11.777778,6,610.833687,
-39.371082,14,612.409441,
-14.888889,6,613.19918,
-22.964388,8,614.497324,
-16.0,5,615.287181,
-24.482193,8,617.003437,
-31.779917,17,619.305676,
-22.88889,10,621.205375,
-16.88889,6,622.143794,
-16.0,4,622.873848,
-25.482197,20,625.066724,
-13.777778,8,626.235729,
-14.888889,6,627.602353,
-8.964387,9,628.804708,
-12.888889,5,630.106172,
-42.964386,11,631.504281,
-14.0,5,632.457976,
-16.0,4,633.179684,
-14.888889,6,634.115005,
-19.964388,20,636.507642,
-14.0,3,637.391482,
-14.0,3,638.031154,
-40.666668,21,640.914301,
-73.29772,26,643.74805,
-12.26211,17,646.162116,
-40.151,11,648.081232,
-19.777779,9,650.043466,
-24.0,9,651.794237,
-17.777779,10,653.687005,
-12.888889,5,655.006253,
-22.0,7,656.291374,
-6.668804,15,658.3813,
-18.0,5,659.307884,
-34.964386,10,660.620579,
-56.25997,17,662.649021,
-14.0,3,663.367806,
-11.853276,12,664.995282,
-20.964388,8,666.20384,
-16.0,4,667.118548,
-15.777778,7,668.273358,
-14.0,5,669.565665,
-18.0,5,670.482468,
-14.0,3,671.106942,
-36.891026,18,673.162658,
-24.0,8,674.442993,
-32.18661,14,676.169182,
-11.777778,7,677.136413,
-10.964388,9,678.195827,
-44.742165,34,681.369728,
-14.0,6,682.275569,
-40.29986,26,684.607324,
-14.888889,5,685.596544,
-21.371082,9,686.798262,
-18.0,5,688.253541,
-12.444445,14,691.02289,
-14.888889,5,692.256827,
-14.888889,8,694.000191,
-11.777778,6,695.183712,
-16.964388,10,696.456431,
-16.0,4,697.106779,
-27.92664,14,698.783302,
-10.668804,15,700.933535,
-22.88889,9,702.031892,
-27.631054,14,703.569644,
-34.0755,16,705.30389,
-14.0,3,705.831159,
-14.815527,11,707.111357,
-14.891027,17,710.079071,
-20.0,6,711.225706,
-11.777778,6,712.238685,
-16.0,4,712.990239,
-20.964388,10,714.646527,
-22.0,7,716.046369,
-14.0,4,716.795375,
-18.0,5,717.663426,
-25.744307,27,721.570264,
-26.0,13,723.307267,
-16.0,5,724.2905,
-22.075499,8,725.876076,
-10.742166,10,728.060601,
-24.88889,10,729.806617,
-16.0,4,730.568242,
-14.888889,6,731.583592,
-14.0,3,732.237062,
-30.186613,30,736.27574,
-12.888889,4,737.439083,
-25.371082,11,739.072875,
-14.0,3,739.873337,
-14.888889,7,741.205109,
-14.0,5,742.899194,
-16.0,4,743.864205,
-22.482193,7,744.951164,
-16.0,4,746.082724,
-16.0,4,746.869039,
-14.0,3,747.492178,
-22.482193,6,748.35499,
-6.5199447,11,749.617465,
-9.928776,13,751.292682,
-16.0,4,752.159112,
-32.482193,11,753.268116,
-14.666666,11,754.611855,
-18.0,6,755.378117,
-16.0,8,756.448569,
-34.891026,19,758.317331,
-14.0,3,758.998035,
-22.482193,10,760.514882,
-8.742166,10,761.913252,
-14.888889,6,762.907361,
-14.0,3,763.679005,
-19.815529,24,766.84195,
-5.4109716,22,769.462375,
-13.777778,6,771.047376,
-24.002138,11,773.35603,
-18.0,5,775.191401,
-19.853277,11,777.000674,
-14.0,3,777.619543,
-9.853276,12,778.877996,
-23.297722,12,780.280558,
-14.0,3,780.909677,
-14.888889,8,782.080441,
-16.0,4,782.677296,
-17.777779,10,783.830453,
-9.853276,8,784.982503,
-14.0,3,785.678383,
-5.928776,12,787.075604,
-16.0,4,787.971244,
-32.964386,11,789.264364,
-9.853277,7,790.213568,
-14.0,3,790.856632,
-14.0,3,791.48045,
-16.0,5,792.503331,
-7.631055,13,793.893453,
-16.88889,8,794.985007,
-14.0,3,795.574971,
-16.0,4,796.206152,
-10.668804,13,797.574141,
-14.888889,5,798.367752,
-16.0,5,799.194477,
-34.482193,11,800.458923,
