#{"t_start": 1662479168.7711635, "env_id": null}
r,l,t,is_success
-157.03775,20,15.727442,False
-46.002132,19,21.235265,False
-26.075497,9,25.754216,False
-14.888887,5,29.905034,False
-41.926636,9,34.534215,False
-27.444437,7,38.552905,False
-37.444435,9,43.000879,False
-12.666662,7,47.143206,False
-14.0,3,51.120945,False
-103.03775,18,56.009161,False
-14.0,3,60.000575,False
-14.0,3,63.906533,False
-25.444437,6,68.224349,False
-13.6310425,14,74.297266,False
-37.246956,38,80.664979,False
-35.37107,10,84.82158,False
-34.075497,8,88.972591,False
-35.03775,7,93.270566,False
-27.444437,7,97.299965,False
-27.444437,8,101.790303,False
-56.72732,29,107.620441,False
-24.0,8,111.411363,False
-18.0,5,115.363517,False
-15.704407,12,121.190428,False
-26.482185,10,125.703597,False
-109.70441,18,130.395679,False
-25.444437,6,134.266329,False
-91.85327,18,139.231312,False
-32.964386,10,143.340832,False
-6.297704,15,147.869563,False
-77.92661,16,152.65451,False
-41.444435,10,157.191286,False
-28.888887,12,161.775862,False
-14.0,3,165.835166,False
-50.81552,14,171.406664,False
-23.777763,15,176.271984,False
-26.482185,9,180.588091,False
-91.371086,18,185.463305,False
-16.0,4,189.234653,False
-9.6310425,12,194.281143,False
-16.0,4,198.33033,False
-16.0,4,202.022003,False
-16.888887,6,206.262305,False
-16.888887,6,210.305136,False
-16.0,4,214.017685,False
-42.00213,13,218.621894,False
-111.14886,21,223.673492,False
-18.0,5,229.104479,False
-14.0,3,232.876926,False
-7.484309,19,237.827311,False
-22.0,7,242.039619,False
-20.888887,8,246.392492,False
-14.0,3,250.473487,False
-16.888887,6,254.474584,False
-21.777775,10,258.442813,False
-36.742157,17,262.768896,False
-16.0,4,266.966857,False
-4.5954223,13,271.408194,False
-92.891014,25,276.726718,False
-147.44443,20,283.646728,False
-16.0,4,287.597883,False
-15.926632,7,291.749826,False
-20.0,6,295.764943,False
-14.888887,5,299.704621,False
-14.888887,5,303.620038,False
-52.113228,26,308.953875,False
-14.888887,5,312.748023,False
-9.6310425,10,317.07963,False
-14.0,3,321.139265,False
-20.0,6,325.028804,False
-16.888887,6,329.148835,False
-16.0,4,333.178731,False
-10.815519,6,337.438775,False
-14.888887,6,341.757145,False
-20.0,6,345.917854,False
-12.96438,9,350.385941,False
-62.075497,14,356.527475,False
-14.0,3,360.667836,False
-14.0,3,364.535157,False
-17.926632,8,369.066462,False
-16.0,4,373.238822,False
-32.0,12,377.497066,False
-16.96438,11,381.978397,False
-14.666662,8,386.345297,False
-14.0,3,390.287216,False
-18.0,5,394.135327,False
-16.0,4,397.753284,False
-134.88889,18,402.479068,False
-12.444437,11,406.984342,False
-22.0,7,410.936037,False
-28.66879,15,415.511851,False
-15.55555,11,421.30154,False
-14.0,3,425.302745,False
-16.0,4,429.396079,False
-26.744284,21,434.668006,False
-34.482185,8,439.02271,False
-12.888887,4,443.007136,False
-14.0,3,446.703908,False
-18.0,5,450.67201,False
-18.0,5,455.237826,False
-14.0,3,458.935269,False
-18.0,5,463.335829,False
-16.0,4,467.200495,False
-15.926632,7,471.13552,False
-9.704407,8,475.353485,False
-14.888887,5,479.035007,False
-18.0,5,482.925568,False
-28.817652,16,487.594413,False
-16.0,4,491.797797,False
-14.0,3,495.831986,False
-14.0,3,499.719767,False
-10.593298,9,505.59122,False
-25.444437,6,509.947177,False
-14.888887,5,513.746658,False
-14.888887,5,517.761475,False
-11.777775,5,521.651887,False
-15.926632,7,525.732619,False
-14.0,3,529.676922,False
-14.0,3,533.625713,False
-16.0,4,538.079803,False
-12.815523,7,542.4426,False
-14.0,3,545.880704,False
-16.0,4,549.80956,False
-12.96438,7,553.919547,False
-12.96438,8,558.319456,False
-16.0,4,562.017644,False
-16.0,4,565.916324,False
-16.0,4,569.694492,False
-14.0,3,573.782814,False
-14.0,3,577.909934,False
-14.0,3,581.875597,False
-20.0,6,585.848436,False
-16.0,4,589.541424,False
-16.0,4,593.520547,False
-20.0,6,597.558813,False
-18.0,5,601.826993,False
-14.0,3,605.922012,False
-14.0,3,609.708286,False
-16.0,4,613.636106,False
-16.0,4,619.367461,False
-16.888887,6,623.413184,False
-14.0,3,626.939409,False
-45.92663,11,631.185206,False
-13.926632,6,635.433124,False
-12.888887,4,639.404849,False
-14.0,3,643.132897,False
-13.853268,9,647.491241,False
-16.0,4,651.359408,False
-12.888887,4,655.268906,False
-16.0,4,659.677785,False
-14.0,3,663.797646,False
-12.888887,4,667.662977,False
-12.888887,4,671.631528,False
-16.0,4,675.338855,False
-14.0,3,679.237093,False
-14.0,3,682.813876,False
-14.0,3,686.596956,False
-12.888887,4,690.421361,False
-14.888887,5,694.52673,False
-14.0,3,698.853756,False
-14.0,3,702.903812,False
-14.0,3,707.01573,False
-16.0,4,711.538726,False
-14.0,3,715.553972,False
-16.0,4,719.374931,False
-14.0,3,723.270469,False
-18.0,5,726.909047,False
-14.0,3,730.780303,False
-18.0,5,734.491172,False
-14.0,3,739.679629,False
-16.0,4,743.627858,False
-16.0,4,747.577099,False
-14.0,3,751.50932,False
-10.815519,6,755.611926,False
-11.926632,5,759.275015,False
-14.0,3,763.033779,False
-16.0,4,766.867274,False
-16.0,4,770.773926,False
-14.0,3,775.00258,False
-14.0,3,778.99147,False
-16.0,4,782.71539,False
-14.0,3,786.546547,False
-14.0,3,790.329428,False
-14.0,3,794.138884,False
-14.0,3,797.954421,False
-16.0,4,801.89493,False
-12.815523,7,806.118786,False
-12.888887,4,810.187836,False
-14.0,3,813.817623,False
-14.0,3,817.399977,False
-26.482185,8,821.350972,False
-14.0,3,825.445337,False
-14.0,3,829.141068,False
-14.0,3,832.806292,False
-12.815519,8,837.170247,False
-16.0,4,840.993216,False
-14.888887,5,845.001925,False
-13.926632,6,849.289315,False
-18.0,5,853.544667,False
-16.0,4,857.931956,False
-14.0,3,862.792964,False
-14.888887,5,867.00115,False
-11.926632,5,871.020127,False
-16.0,4,875.00636,False
-14.0,3,878.65278,False
-11.926632,5,882.683506,False
-16.0,4,886.27433,False
-12.888887,4,890.207216,False
-14.0,3,893.682794,False
-11.853268,10,897.920954,False
-14.0,3,901.845788,False
-14.0,3,905.741841,False
-14.0,3,909.425935,False
-18.0,5,913.711776,False
-14.0,3,917.543907,False
-20.0,6,921.627067,False
-16.0,4,925.428891,False
-14.0,3,929.351373,False
-14.0,3,933.267056,False
-16.0,4,937.471198,False
-11.926632,5,941.347434,False
-7.557674,12,946.058228,False
-16.0,4,950.317511,False
-14.0,3,953.756731,False
-14.0,3,957.516886,False
-14.0,3,960.985635,False
-16.0,4,964.957635,False
-12.888887,4,968.885351,False
-14.888887,5,973.113946,False
-14.0,3,977.187681,False
-14.0,3,982.483064,False
-16.0,4,986.626151,False
-14.0,3,990.980325,False
-17.777775,8,995.506227,False
-84.07549,14,999.979097,False
-16.888887,6,1004.115575,False
-14.0,3,1007.836644,False
-14.0,3,1011.719319,False
-14.0,3,1015.22106,False
-14.0,3,1019.446589,False
-16.0,4,1023.648886,False
-14.0,3,1027.672132,False
-9.779903,10,1031.988676,False
-11.704411,8,1035.96236,False
-10.96438,6,1040.245036,False
-14.0,3,1044.190637,False
-14.0,3,1047.846956,False
-14.0,3,1051.696972,False
-12.888887,4,1055.689646,False
-14.0,3,1059.937104,False
-14.0,3,1063.591181,False
-14.0,3,1068.058422,False
-16.0,4,1072.064237,False
-16.0,4,1075.847902,False
-14.0,3,1079.745819,False
-14.0,3,1083.305109,False
-14.0,3,1087.253631,False
-16.0,4,1091.118881,False
-18.0,5,1095.171322,False
-14.0,3,1100.901653,False
-14.0,3,1104.922122,False
-11.926632,5,1108.96859,False
-14.0,3,1112.669719,False
-14.0,3,1116.460003,False
-13.926632,6,1120.365368,False
-14.0,3,1124.498406,False
-18.0,5,1128.374859,False
-16.0,4,1132.162727,False
-15.926632,7,1135.943084,False
-14.0,3,1140.049786,False
-12.888887,4,1143.737769,False
-14.0,3,1147.263085,False
-20.0,6,1151.224235,False
-14.0,3,1154.748948,False
-14.0,3,1158.864168,False
-14.0,3,1162.601862,False
-14.0,3,1166.59644,False
-16.0,4,1170.841109,False
-14.0,3,1174.799753,False
-15.926632,7,1179.302859,False
-14.0,3,1183.145888,False
-14.0,3,1186.959908,False
-42.408813,11,1191.522467,False
-14.0,3,1195.366628,False
-14.0,3,1198.936023,False
-16.0,4,1202.835927,False
-16.0,4,1206.556123,False
-14.0,3,1210.751609,False
-16.0,4,1214.472497,False
-14.0,3,1218.647273,False
-14.0,3,1222.645047,False
-11.926632,5,1227.939535,False
-14.0,3,1231.617454,False
-14.0,3,1235.482006,False
-14.0,3,1239.254193,False
-14.0,3,1243.049039,False
-14.0,3,1246.82875,False
-14.0,3,1250.490391,False
-18.0,5,1254.448988,False
-14.888887,5,1259.088039,False
-12.888887,4,1262.774444,False
-14.0,3,1266.965697,False
-14.0,3,1270.816282,False
-11.926632,5,1274.88421,False
-18.0,5,1278.902479,False
-14.0,3,1282.793908,False
-14.0,3,1286.635154,False
-14.0,3,1290.101642,False
-14.0,3,1294.039031,False
-14.0,3,1297.523627,False
-14.0,3,1301.307151,False
-12.888887,4,1305.099565,False
-83.371086,18,1310.342832,False
-14.0,3,1314.287926,False
-14.0,3,1318.556957,False
-14.0,3,1322.313936,False
-12.888887,4,1326.059194,False
-14.0,3,1329.796146,False
-12.815523,7,1333.959373,False
-14.0,3,1338.106065,False
-14.0,3,1341.94825,False
-14.0,3,1345.683729,False
-14.0,3,1349.339293,False
-14.0,3,1354.755066,False
-14.0,3,1358.583452,False
-12.888887,4,1362.412789,False
-14.0,3,1366.657288,False
-14.0,3,1370.604569,False
-14.0,3,1374.373518,False
-14.0,3,1378.123393,False
-14.0,3,1381.808644,False
-14.0,3,1385.93607,False
-14.0,3,1389.82288,False
-14.888887,5,1393.965843,False
-14.0,3,1397.815174,False
-14.0,3,1401.59846,False
-14.0,3,1405.332678,False
-14.0,3,1409.245379,False
-14.0,3,1413.177156,False
-14.0,3,1417.645429,False
-14.0,3,1421.12741,False
-14.0,3,1425.363375,False
-11.926632,5,1429.454102,False
-11.926632,5,1433.427969,False
-14.0,3,1437.171376,False
-11.926632,5,1441.244134,False
-14.0,3,1445.296866,False
-14.0,3,1449.053918,False
-14.0,3,1452.945061,False
-14.0,3,1456.990554,False
-14.0,3,1460.851277,False
-14.0,3,1464.732426,False
-14.0,3,1468.464604,False
-14.0,3,1472.314541,False
-18.0,5,1476.717586,False
-16.0,4,1481.198599,False
-14.0,3,1485.063692,False
-14.0,3,1488.680475,False
-12.888887,4,1492.251835,False
-14.0,3,1496.770894,False
-14.0,3,1500.673807,False
-14.0,3,1505.56761,False
-14.888887,5,1509.342916,False
-12.888887,4,1513.110651,False
-14.0,3,1517.151211,False
-14.0,3,1521.011067,False
-14.0,3,1524.986819,False
-14.0,3,1528.806144,False
-11.926632,5,1532.956861,False
-16.0,4,1536.852132,False
-14.0,3,1540.945086,False
-16.0,4,1544.593328,False
-14.0,3,1548.325189,False
-14.0,3,1552.350244,False
-14.0,3,1556.085536,False
-14.0,3,1559.839256,False
-44.075493,9,1564.104975,False
-14.0,3,1567.697592,False
-14.0,3,1571.538014,False
-14.0,3,1576.045934,False
-14.0,3,1580.07093,False
-14.0,3,1584.22114,False
-14.815519,8,1588.446096,False
-14.0,3,1592.113839,False
-14.0,3,1595.550867,False
-14.0,3,1599.119483,False
-14.0,3,1603.15475,False
-14.0,3,1607.278162,False
-16.0,4,1611.334321,False
-14.0,3,1615.219435,False
-11.926632,5,1619.432029,False
-14.0,3,1623.236055,False
-11.926632,5,1627.34589,False
-16.0,4,1631.601581,False
-13.926632,6,1635.494192,False
-14.0,3,1640.509903,False
-16.0,4,1644.114936,False
-14.0,3,1648.200871,False
-14.0,3,1652.001127,False
-14.0,3,1656.527333,False
-14.0,3,1660.109074,False
-16.0,4,1664.156998,False
-14.0,3,1667.786386,False
-11.926632,5,1671.5163,False
-14.0,3,1675.297877,False
-14.0,3,1679.239996,False
-14.0,3,1683.151626,False
-14.0,3,1687.102777,False
-12.888887,4,1690.770529,False
-14.0,3,1694.605842,False
-14.0,3,1698.532035,False
-16.0,4,1702.030011,False
-14.0,3,1705.626607,False
-44.96438,11,1709.738548,False
-14.0,3,1713.397663,False
-14.0,3,1716.880182,False
-14.0,3,1721.053917,False
-14.0,3,1725.071274,False
-14.0,3,1728.895593,False
-14.0,3,1733.146122,False
-15.926632,8,1737.443835,False
-14.0,3,1741.517831,False
-14.0,3,1745.258199,False
-14.0,3,1749.177557,False
-14.0,3,1752.897681,False
-14.0,3,1756.897978,False
-14.0,3,1760.938837,False
-14.0,3,1764.821177,False
-14.0,3,1768.912483,False
-14.0,3,1772.834682,False
-14.0,3,1776.749885,False
-16.0,4,1782.003134,False
-12.888887,4,1786.200832,False
-14.0,3,1790.209455,False
-11.926632,5,1794.224946,False
-12.888887,4,1798.08288,False
-14.0,3,1801.779056,False
-14.0,3,1805.7177,False
-14.0,3,1809.626092,False
-14.0,3,1814.152168,False
-16.0,4,1818.137178,False
-14.0,3,1822.000931,False
-16.0,4,1826.091131,False
-11.926632,5,1830.385441,False
-14.0,3,1834.156183,False
-14.0,3,1837.939249,False
-15.926632,7,1841.968244,False
-11.926632,5,1846.25342,False
-14.0,3,1849.776781,False
-14.0,3,1853.567215,False
-12.888887,4,1857.378565,False
-12.815519,7,1861.617924,False
-14.0,3,1865.486774,False
-14.0,3,1869.393057,False
-14.0,3,1873.159239,False
-16.0,4,1876.853844,False
-14.0,3,1880.876179,False
-14.0,3,1884.479121,False
-14.0,3,1888.204391,False
-14.888887,5,1892.659243,False
-16.0,4,1896.721148,False
-14.0,3,1900.53063,False
-14.0,3,1904.054647,False
-14.0,3,1907.924325,False
-14.0,3,1912.170348,False
-14.0,3,1916.184693,False
-14.0,3,1921.23597,False
-14.0,3,1924.989136,False
-14.0,3,1928.46046,False
-14.0,3,1932.464555,False
-14.0,3,1936.291949,False
-16.0,4,1940.218352,False
-14.0,3,1944.442541,False
-16.0,4,1948.336862,False
-14.0,3,1952.067962,False
-14.0,3,1956.003911,False
-11.926632,5,1960.382384,False
-14.0,3,1964.057936,False
-14.0,3,1967.855038,False
-14.0,3,1972.332166,False
-14.0,3,1975.962543,False
-14.0,3,1980.033644,False
-14.0,3,1983.802891,False
-12.888887,4,1987.339725,False
-14.0,3,1991.248338,False
-14.0,3,1994.870324,False
-14.0,3,1998.558536,False
-14.0,3,2002.669407,False
-14.0,3,2006.564751,False
-12.888887,4,2010.489043,False
-14.0,3,2014.321843,False
-11.926632,5,2018.303027,False
-14.0,3,2021.891756,False
-14.0,3,2025.837064,False
-14.0,3,2029.533968,False
-14.0,3,2033.268532,False
-14.0,3,2036.988684,False
-11.926632,5,2041.12815,False
-14.0,3,2044.558791,False
-14.0,3,2049.018103,False
-12.888887,4,2052.780691,False
-14.0,3,2056.986978,False
-14.0,3,2060.735948,False
-14.0,3,2064.475987,False
-14.0,3,2068.436644,False
-16.0,4,2073.317069,False
-14.0,3,2077.606383,False
-14.0,3,2081.225072,False
-14.0,3,2084.944173,False
-14.815523,8,2089.304588,False
-14.0,3,2093.357436,False
-14.0,3,2097.115662,False
-14.0,3,2101.277704,False
-12.888887,4,2105.168111,False
-14.0,3,2108.99146,False
-16.0,4,2112.883842,False
-16.0,4,2116.460965,False
-14.0,3,2120.58529,False
-14.0,3,2124.124715,False
-14.888887,5,2128.498229,False
-13.926632,6,2132.780577,False
-14.0,3,2136.813175,False
-14.0,3,2140.666772,False
-14.0,3,2144.30137,False
-14.0,3,2147.986196,False
-16.0,4,2151.7891,False
-14.0,3,2155.795782,False
-11.926632,5,2159.74286,False
-14.0,3,2163.754372,False
-14.0,3,2167.859899,False
-14.0,3,2171.700127,False
-14.0,3,2175.549678,False
-14.0,3,2179.410305,False
-11.926632,5,2183.07044,False
-16.0,4,2187.240871,False
-12.888887,4,2190.865001,False
-12.888887,4,2194.711998,False
-14.0,3,2198.461761,False
-14.0,3,2202.1217,False
-14.0,3,2206.21933,False
-14.0,3,2211.595921,False
-14.0,3,2215.62333,False
-14.0,3,2219.717345,False
-14.0,3,2223.631162,False
-12.888887,4,2227.837825,False
-16.0,4,2232.000222,False
-14.0,3,2236.062454,False
-14.0,3,2240.3001,False
-13.926632,6,2244.495302,False
-14.0,3,2249.084228,False
-14.0,3,2253.086706,False
-14.0,3,2257.117473,False
-11.853268,8,2261.357047,False
-14.0,3,2265.782304,False
-16.0,4,2270.018476,False
-14.0,3,2273.780844,False
-11.926632,5,2277.737824,False
-14.0,3,2281.434194,False
-14.0,3,2285.244951,False
-14.0,3,2289.842844,False
-14.0,3,2294.145838,False
-14.0,3,2298.358073,False
-33.926632,9,2302.939884,False
-11.926632,5,2307.191087,False
-14.0,3,2310.892522,False
-14.0,3,2314.958487,False
-14.0,3,2318.800457,False
-14.0,3,2322.911033,False
-11.926632,5,2326.901206,False
-14.0,3,2331.0204,False
-14.0,3,2334.602274,False
-12.888887,4,2338.497286,False
-14.0,3,2342.595082,False
-14.888887,5,2346.617169,False
-14.0,3,2351.959943,False
-11.926632,5,2355.536179,False
-14.0,3,2359.591943,False
-14.0,3,2363.544697,False
-14.0,3,2367.569494,False
-14.0,3,2372.050728,False
-11.926632,5,2375.906971,False
-16.0,4,2380.205306,False
-16.0,4,2384.386011,False
-14.0,3,2388.015666,False
-14.0,3,2392.140068,False
-14.0,3,2396.387528,False
-33.926632,9,2400.879417,False
-11.926632,5,2404.853312,False
-14.0,3,2408.546836,False
-14.0,3,2412.447936,False
-14.0,3,2416.516447,False
-14.0,3,2420.427804,False
-13.926632,6,2424.787954,False
-14.0,3,2428.819761,False
-14.0,3,2433.052215,False
-14.0,3,2436.979138,False
-12.888887,4,2441.047991,False
-14.0,3,2445.165773,False
-14.0,3,2449.012583,False
-13.926632,6,2453.965483,False
-11.926632,5,2457.724074,False
-14.0,3,2461.794504,False
-16.0,4,2465.389427,False
-16.0,4,2469.516216,False
-14.0,3,2473.585521,False
-14.0,3,2477.402977,False
